Category,Question,Answer
market information,farmer asked about market rate of onion of lasalgaon market ?,"market rate of onion of lasalgaon market  -minimum-  301  rs/qtl, maximum -852  rs/qtl ,average- 580 rs/qtl"
market information,farmer asked about market rate of tur  ?,market rate of tur -44004800 rs/qtl
market information,farmer asked about market rate of onion ?,market rate of onion 450   / quintal
market information,asked about market rate of onion   ?,market rate of onion 205663-rs/qtl
market information,farmer asked about market rate of onion ?,market rate of onion  =350-700   rs/qtl
market information,farmer asked about market rate of pigeon pea ?,market rate of  pigeon pea ????-???? rs/qtl.
market information,farmer asked about market rate of soybean  ?,"market rate of soybean - min.- 3400 rs /qtl, max.-3600  rs /qtl , average -3500  rs /qtl"
market information,onion market rate nasik ?,19/01/2019mandi  : nasikcommodity : onion(modal price): 650/quintal
market information,asked about market rate of soybean ?,21/01/2019mandi  : jalgaoncommodity : soyabean(modal price): 3500/quintal
market information,farmer asked about market rate of onion ?,market rate of onion 200-850  rs/qtl
market information,farmer asked about market rate of  soyabean  ?,market rate of soyabean  -  3600- 3800 rs/qtl
market information,asking about market rate  pomegranate?,"market rate of pomegranate:  minimum-250,maximum-, 7500 average-3000rupees/qtl"
market information,farmer asked about market rate of tomato?,"market rate of  tomato=  minimum-700, maximum-1300, average- 1000 rs/qtl"
market information,mandi details,12/01/2019mandi : yeolacommodity : onion(modal price): 450/quintal
market information,asked  about  market  rate of onion of lasalgaon market ?300812760,"06/01/2019   market  rate of onion - lasalgaon market - minimum - 300 rs/qtl, maximum - 812 rs/qtl, average -  760 rs/qtl."
market information,farmer asked about market rate of onion of lasalgaon market ?,"market rate of onion  of lasalgaon market - min. - 351rs/qtl , max- 852rs/qtl , average - 670 rs/qtl"
market information,asking about market rate  pomegranate?,"market rate of pomegranate:  minimum-250,maximum-, 7500 average-3000rupees/qtl"
market information,asking about market rate  pomegranate?,"market rate of pomegranate:  minimum-250,maximum-, 7500 average-3000rupees/qtl"
market information,asking about market rate  pomegranate?,"market rate of pomegranate:  minimum-250,maximum-, 7500 average-3000rupees/qtl"
market information,farmer  asking about market rate of pomegranate in karad  market?,"market rate of pomegranate in karad  market  -  minimum- 2000 rupees/qtl  , maximum- 3000  rupees/qtl  ,    average - 3000  rupees/qtl"
market information,farmer asked about market rate of onion  ?,lasalgaon  market rate of onion  - 251 -650 rs/qtl
market information,farmer asked about market rate of onion ?,market rate of onion- solapur -100-1150 rs/qt
market information,farmer asked about market rate of onion  ?,market rate of onion =  200-600 rs/qtl
market information,asking about market rate of onion ?,nashik market rate of lal onion 50 - 584  rs/quinatl
market information,market rate of onion?,14/01/2019mandi  : lasalgaoncommodity : onion(modal price): 580/quintal
market information,farmer asked about market rate of  onion ?,market rate of  onion 300-900 rs/qtl
market information,farmer asked about market rate of onion ?,market rate of onion   - 50-558rs/qtl
market information,farmer asked about market rate of onion  ?,market rate of onion   - 600 rs/qtl
market information,asked about soyabean market rate ?,"nasik divisionmaharashtra state agricultural marketing board,panchavati market yard, dindori naka,nashik-422003 ph. no. 0253 2512176"
market information,farmer asked about market rate onion  ?,market rate  of onion  - 935 rs/qtl
market information,asked about market rate of onion ?,market rate of onion - average-935 rs/qtl
market information,asking about market rate onion ?,"market rate of   onion- minimum-301,maximum-1000,average-935rupees/qtl"
market information,farmer asked about market rate of ?,market rate of -500 to 700  rs/qtl
market information,asked about market rate of onion?,market rate of onion-minimum-   500    maximum-  967        average-875            ru/qtl
market information,asking about market information of cotton ?,"nandurbar market rate of cotton - average -5466  rs/qtl, maximum - 5511 rs/qtl, minimum -5350 rs/qtl"
market information,farmer asked about cotton market rate  onion ?,nagpur market rate of onion-600-900 rs / qtl
market information,farmer asked about market rate of onion  ?,market rate of onion -       500-967         rs/qtl
market information,farmer asking about market rate of onion ?,market rate of of  onion - 750 rs/qtl
market information,farmer asked about market rate of onion ?,market rate of onion  - 700 -700 rs/qtl
market information,farmer asked about market rate of onion ?,market rate of onion  :- 400 - 800 rs per quintal
market information,market rate of onion ?,market rate of onion = 200-1100 rs/qtl
market information,market rate of onion?,01/01/2019mandi  : nasikcommodity : onion(modal price): 800/quintal
market information,farmer asked about market rate of onion  ?,market rate of onion  - 300901 rs /qtl
market information,farmer asked about market rate of  french bean?,market rate of french bean  - 3300 rs/qtl
market information,farmer asked about market rate of onion?,market rate of onion= 800 rs /quintal .
market information,onion market rate nasik ?,onion market - lasalgaonlalquintal15000300901800
market information,farmer asked  about  market  rate of onion on nasik market ?,market  rate of onion on nasik market  -unhal-min.-300 rs/qtl  max.-1111 rs/qtl   avg.-700 rs/qtl
market information,market rate of onion  ?,market rate of onion   = 300-799 rs/qtl
market information,asked about market rate of onion  in lasalgao market ?,"market rate of onion in lasalgao market –  minimum - 301 rupees/qtl ,maximum - 900 rupees/qtl ."
market information,market rate of onion ?,market rate of onion  = 200-742rs/qtl
market information,farmer asked about market rate of onion ?,market rate of onion-710 rs/qtl
market information,farmer asked about market rate of onion ?,"market rate of onion -minimum rate- 200 rs /qtl,maximum rate-703 rs/qtl,average rate- 550 rs/qtl"
market information,asked about market rate of tomato?,market rate of tomato-minimum-  800maximum-1300           average-   1000           ru/qtl
market information,farmer asked about market rate of onion  ?,market rate of onion  =  500900 rs/qtl
market information,farmer asked about market rate of onion ?,market rate of onion=  710 rs/qtl
market information,farmer asked about market rate of onion  ?,market rate of  onion -500-800   rs/qtl
market information,farmer asked about market rate of onion?,market rate of onion = lasalgaon-300-898 rs /qt
market information,asked about market rate of onion ?,02/01/2019 mandi  : nasik commodity : onion(modal price): 700 / quintal
market information,farmer asked about market rate of pomogranet  ?,market rate of  pomogranet- 250-5000  rs/qtl
market information,farmer asked about market rate of  onion ?,market rate of  onion-301-898  rs/qtl
market information,farmer asking about market rate of  onion  ?,"market rate of  onion :-   minimum - 301, maximum -898, average -680rs. / qtl"
market information,farmer asked about market rate of onion ?,"market rate of onion = 700,800,750 rs/qtl"
market information,market rate of  onion?,02/01/2019mandi  : yeolacommodity : onion(modal price): 675/quintal
market information,farmer asked about market rate of onion ?,"market rate of onion  - min.- 500 rs /qtl, max.- 1000 rs /qtl , average - 750 rs /qtl"
market information,asked about market rate of onion ?,market rate of onion-301-898 rs.qtl
market information,farmer asking about market rate of  onion  ?,"market rate of  onion  :-   minimum - 200, maximum 688,average -550 rs. / qtl"
market information,farmer asked about market rate of onion  ?,"market rate  of onion  = minimum-   3oo , maximum-  787  , average -  725 rs /quintal"
market information,market rate of onion ?,market rate of onion = 200-746 rs/qtl
market information,farmer asked about market rate of onion ?,market rate of onion - 300 - 1000  rs/qtl
market information,farmer asked about market rate of onion ?,market rate of onion =  650rs/qtl
market information,farmer asked about market rate of onion ?,"lasalgaon , market rate of  onion = 300 - 787  rs/qtl"
market information,farmer asked about market rate  onion?,market rate of onion -100-978 rs/qtl
market information,farmer asking about market rate of  onion  ?,"market rate of  onion :-  minimum -300, maximum -1051,average -650rs. / qtl"
market information,farmer asking about market rate of  onion ?,market rate of  onion  -300-812  rs/qtl
market information,asked  about  market  rate of onion ?,market  rate of onion:-680 rs /qtl
market information,farmer asked about market rate of brinjal ?,market rate of brinjal = 10003600 rs/qtl
market information,farmer asked about market rate of onion ?,market rate of onion-average-700 rupees/qtl
market information,farmer asking about market rate of  onion ?,"market rate of onion  :-  minimum -125, maximum -625,average -400 rs. / qtl"
market information,farmer asked about market rate of onions,14/01/2019mandi  : nasikcommodity : onion(modal price): 600/quintal
market information,farmer asked about market rate of  onion ?,market rate of onion  -251-630 rs/qtl
market information,farmer asked about market rate of  market ?,market rate of onion -average 600  rupeees /quintal
market information,asked about market rate of onion ?,19/01/2019mandi  : yeolacommodity : onion(modal price): 450/quintal
market information,market rate of onions,commodity: onionrate per unit in rs.apmcvarietyunitquantitylratehratemodal22/01/2019kolhapur----quintal6268150800500aurangabad----quintal873150450300
market information,asking about market rate  pomegranate?market rate of -,"market rate of pomegranate:  minimum-250,maximum-, 7500 average-3000rupees/qtl"
market information,asking about market rate  pomegranate?,"market rate of pomegranate:  minimum-250,maximum-, 7500 average-3000rupees/qtl"
market information,asking about market rate  pomegranate?,"market rate of pomegranate:  minimum-250,maximum-, 7500 average-3000rupees/qtl"
market information,asking about market rate  pomegranate?,"market rate of pomegranate:  minimum-250,maximum-, 7500 average-3000rupees/qtl"
market information,asking about market rate  pomegranate?,"market rate of pomegranate:  minimum-250,maximum-, 7500 average-3000rupees/qtl"
market information,asking about market rate  pomegranate?market rate of -,"market rate of pomegranate:  minimum-250,maximum-, 7500 average-3000rupees/qtl"
market information,asking about market rate  pomegranate?,"market rate of pomegranate:  minimum-250,maximum-, 7500 average-3000rupees/qtl"
market information,asking about market rate of onion in yeola market?,in yeola  market -today market rate of onion  - minimum - 100 rupees/qtl and maximum - 500 rupees/qtl
market information,asked about market rate of onion ?,market rate of  onion - 100 - 1200   rupees/qtl
market information,farmer asked about market rate of onion?,market rate of onion-yeola market- 100-525 rs./qtl.
market information,farmer asked about market rate of onion?,"market rate of onion- min.- 100 rs /qtl, max.-1000 rs /qtl ."
market information,farmer asked about market rate of  cotton ?,jalna market rate  of cotton   -  5296-5350 rupeees /quintal
market information,asking about market rate  pomegranate?,"market rate of pomegranate:  minimum-250,maximum-, 7500 average-3000rupees/qtl"
market information,farmer asked about market rate of cotton  ?,market rate of cotton  -  5400 - 5700 rs/qtl
market information,farmer asked about market rate of onion ?,market rate of onion  - 760 rs/qtl .
market information,farmer asked about market rate of onion?,market rate of onion-average-500 rupees/qtl
market information,farmer asked about market rate of onion  ?,"market rate of onion  -  minimum -200, maximum -700, average -500 rs/qtl"
market information,farmer asked about market rate of  onion of  yeola  market  ?,"yeola market rate of onion =minimum -100  rs /quintal , maximum- 551  rs /quintal , average-450  rs /quintal"
market information,asked about market rate of pomegranate ?,pomegranate market rate of = 1000-30000 rupees/qtl.
market information,asked about market rate ofgrape  ?,market rate of grape -35005500rs/qtl
market information,asked about market rate of onion   ?,market rate of onion -800900rs/qtl
market information,asked about market rate of onion ?,19/01/2019mandi  : yeolacommodity : onion(modal price): 450/quintal
market information,farmer asked about market rate of onion?,"market rate of onion-chandvad market-minimum-200,maximum-741,average-600 rs./qtl."
market information,farmer asked about market rate of onion ?,market rate of onion  -  100 - 450 rs/qtl
market information,market rate of onion?,21/01/2019mandi  : nasikcommodity : onion(modal price): 600/quintal
market information,asking about market rate onion ?,"onion markerate of:    300,600,450 rupees/qtl"
market information,farmer asked about market rate of onion?,market rate of onion-201-775rs./qtl.
market information,market rate of onion?,21/01/2019mandi  : lasalgaoncommodity : onion(modal price): 551/quintal
market information,grape market rate?,grape market rate-8000 rs/qtl
market information,asking about market rate  pomegranate?,"market rate of pomegranate:  minimum-250,maximum-, 7500 average-3000rupees/qtl"
market information,asking about market rate  pomegranate?,"market rate of pomegranate:  minimum-250,maximum-, 7500 average-3000rupees/qtl"
market information,asked about market rate of maize?,market rate of maize  -  rs.1600-1895 /qt
market information,asked about market rate of onion ?,market rate of onion  - average-    925 rs/qtl
