word,value
-pune,184

020,185

2695,186

6000,187

(carbendazim,188

wp,189

upl,190

bio,191

303,192

control,193

/super,194

(imidacloprid,195

178,196

or,197

krishi,198

0418,199

700,200

maximum-,201

nasik,202

boron,203

through,204

drip,205

-pusa,206

max,207

celsius,208

-this,209

"department,this",210

tehsil,211

drenching,212

tomato,213

saaf,214

12%,215

mancozeb,216

63%,217

weed,218

goal,219

30gm/15lit,220

200,221

well,222

25,223

21,224

transplanting,225

benzoate,226

water(naa),227

50%,228

61,229

400,230

drop,231

mango,232

litar,233

type,234

send,235

more,236

vigyan,237

3,238

"rs/qtl,",239

nasikcommodity,240

onion-,241

qtl,242

maize,243

mop,244

calcium,245

nitrate,246

(nitrobenzine,247

from,248

neem,249

26,250

papaya,251

co-1,252

pant,253

gaurav,254

niphad,255

"department,",256

next,257

27,258

blue,259

copper,260

ec),261

white,262

fly,263

bayer,264

onion-spray,265

management,266

fungal,267

-spray,268

use,269

cow,270

gm/,271

(emamectin,272

5%,273

ridomil,274

191919,275

start,276

service,277

kisaan1,278

7738299899,279

kendra,280

maharashtra,281

agricultural,282

quintal,283

1000,284

yeolacommodity,285

cotton,286

005234,287

ssp,288

75,289

fruit,290

fertiliser,291

used,292

nutrient,293

s,294

cracking,295

wheat,296

zinc,297

sulphate,298

-taiwan,299

-786,300

washington,301

majesty,302

chilli,303

sankeshwari-32,304

tejswini,305

sitara,306

jyoti,307

c,308

agnirekha,309

drumstick,310

28,311

received,312

indian,313

five,314

some,315

spots,316

today,317

politrin-c,318

cauliflower,319

15ml/15,320

preparation,321

urine,322

pegasus,323

(diafenthiuron),324

cabriotop,325

water-metiram,326

5gm/15lit,327

22,328

daman,329

wp),330

rijent,331

wheat-spray,332

7,333

35,334

sc,335

sowing,336

pride,337

alika,338

(thiamethoxam,339

(126%),340

lambdacyhalothrin,341

(95%),342

zc,343

)syngenta,344

bean,345

25-50,346

%subsidy,347

equipment,348

tahasil,349

soil,350

pradhanmantri,351

insurance,352

-1800,353

2660,354

call,355

before,356

600,357

minimum-,358

min-,359

"/qtl,",360

19/01/2019mandi,361

21/01/2019mandi,362

450/quintal,363

300,364

-500,365

ru/qtl,366

/qt,367

yeola,368

grape,369

bavistin,370

bahar,371

manjari,372

microla,373

are,374

bengal,375

25%),376

&,377

seed,378

%)devi,379

-15,380

m,381

pomogranate,382

gourd,383

proclaim,384

sg)-syngenta,385

rogar,386

jwala,387

vaishali,388

"ruchira,",389

rubi,390

shital,391

roma,392

rupali,393

bhagyashree,394

jkth-811,395

jk,396

-akshay,397

quint,398

q,399

atmosphere,400

block-this,401

-moderate,402

possibilities,403

",cool",404

celcius,405

-min-14,406

-min-22,407

36,408

blight,409

control-spray,410

caterpillar,411

chloropyriphos,412

ullala,413

water(flonicamid)-upl,414

omite,415

admire,416

bio-303,417

jivamrut,418

dung,419

flour,420

mill,421

jaggary,422

skake,423

morning,424

evening,425

till,426

-6,427

antracol,428

water(propineb)-bayer,429

basf,430

-30,431

water(copper,432

oxychloride,433

waterbayer,434

karate,435

(lambdacyhalothrin,436

sorghum,437

tracer,438

-(spinosad,439

dow,440

agro,441

/200,442

tomato-spray,443

20%,444

/acre,445

(pyraclostrobin,446

metiram,447

55%)basf,448

cluster,449

loan,450

nearer,451

nationalized,452

bank,453

"aquarium,netaji",454

subhash,455

"road,",456

"state,",457

yashwantrao,458

chavan,459

open,460

"university,",461

near,462

gangapur,463

"dam,",464

toll,465

free,466

3268,467

any,468

that,469

48,470

hours,471

kvk,472

name,473

all,474

registration,475

process,476

successfully,477

applicant,478

18,479

applicant's,480

family,481

not,482

rs/qt,483

min,484

900,485

301,486

450,487

soybean,488

760,489

3000,490

solapur,491

14/01/2019mandi,492

lasalgaoncommodity,493

onion-minimum-,494

750,495

800,496

french,497

–,498

rate-,499

commodity,500

onion-301-898,501

787,502

600/quintal,503

rupeees,504

market-,505

-100,506

925,507

108,508

150,509

tata,510

"maharashtra,",511

trimbakeshwar,512

flowering,513

time,514

take,515

guava,516

due,517

summer,518

fruits,519

quality,520

percent,521

so,522

plow,523

%,524

vijay,525

",digvijay,",526

"vishal,",527

"vikas,",528

"jaki-9218,",529

g-12,530

sugarcane,531

red,532

organic,533

etc,534

requirement,535

calsibor,536

spraying,537

brinjal-,538

ark,539

o,540

"crop,",541

out,542

taba,543

india,544

doses,545

13,546

leaf,547

gmm,548

126100,549

shonite,550

126100-,551

rat,552

bags,553

magnesium,554

suphate,555

feras,556

boran,557

cake,558

kg/acre,559

triazhophos,560

burrows,561

groundnut,562

-sb-11,563

tag-24,564

tpg-41,565

tg-26,566

-285,567

-p3546,568

p3396,569

",p3533",570

"p3522,",571

"nk-6240,",572

",karvir",573

vivek-,574

sankul,575

",panchganga,nk-30",576

nidw,577

(panchvati),578

niaw-301,579

(tryambak,580

niaw-1415,581

(netravati),582

niaw-917(tapowan,583

ajeet-202,584

ajeet-349,585

green,586

harit,587

k,588

krishna,589

avinash-2,590

wonder,591

abhay,592

parbhani,593

utkarsha,594

24,595

18-20,596

osb,597

11,598

16,599

odisi,600

sidhivinayak,601

konkan,602

"pkm-2,",603

min13,604

"week,",605

block,606

todays,607

posibility,608

nandgaon,609

possiblity,610

-min-15,611

chala,612

keral,613

18001854rs/qtl,614

(profesofos,615

40%cypermethrin,616

4%),617

30gm/15,618

drainching,619

cabbage-spray,620

water(propynyl,621

ester)-nufarm,622

(propargite,623

57%,624

marker,625

quinolphos,626

(oxyfluorfen)/15,627

jivamrut-for,628

(dithiocarbamate),629

goal(oxyfluorfen,630

235%,631

(crop,632

life,633

ltd),634

sg,635

caterpiler,636

profenophos,637

brinjal-humic-15,638

litres,639

cut,640

worm,641

thimet,642

kilo,643

ekar,644

draining,645

bajra,646

"2,4-d",647

30-35,648

(acetamiprid,649

mlsaaf,650

allgrip,651

(metsulfuron,652

methyl,653

wg)8,654

25-35,655

planting,656

third,657

january,658

magnesiam,659

sulphet,660

toll-free,661

iffco,662

tokio,663

1-800-103-5499,664

fisheriesaddresscommissioner,665

"fisheries,taraporwala",666

"road,charni",667

mumbai-400002(maharashtra,668

india)phone,669

022-,670

"commissioner,",671

"fisheries,",672

taraporewala,673

"churniroad,",674

"mumbai-400002,telephone",675

022-22821239,676

"dnyangangotri,",677

422,678

222,679

91,680

"-253-2230698,2230459",681

office,682

details,683

related,684

schemes,685

seeds,686

treated,687

with,688

rhizobium,689

testing,690

lab,691

0253-2592958,692

mahatma,693

"vidyapeeth-rahuri,ahmednagar",694

02426,695

243373,696

department-1800,697

2334000,698

nashikcategory,699

govt,700

spotscontact,701

"nashik,mobile",702

0253-2230698address,703

"kendra,",704

"dnyanagangotri,",705

nashikstate,706

maharashtradistrict,707

nashiktime,708

year,709

directordr,710

sd,711

sawantphone,712

91-20-26956001,713

completedfor,714

kisan,715

msg-type''kisaan1'',716

msg,717

(7738299899),718

completed,719

"0253-2230698,2230459",720

resident,721

he,722

"years,",723

registered,724

skill,725

development,726

employment,727

guidance,728

"center,",729

annual,730

income,731

within,732

six,733

lakh,734

"rupees,",735

outstanding,736

"bank,",737

permanent,738

residence,739

years,740

07/01/2019,741

350,742

851,743

680,744

"350,851,680",745

amalner,746

tur-4900-5200,747

-140-286,748

lasalgaon-350-851,749

chandrapur,750

1300,751

1100,752

-minimum-,753

-852,754

",average-",755

580,756

tur,757

-44004800,758

205663-rs/qtl,759

350-700,760

pigeon,761

pea,762

3400,763

max-3600,764

-3500,765

650/quintal,766

jalgaoncommodity,767

soyabean(modal,768

3500/quintal,769

200-850,770

soyabean,771

3600-,772

3800,773

"minimum-700,",774

"maximum-1300,",775

12/01/2019mandi,776

06/01/2019,777

812,778

351rs/qtl,779

852rs/qtl,780

670,781

karad,782

2000,783

251,784

-650,785

-100-1150,786

200-600,787

lal,788

584,789

rs/quinatl,790

580/quintal,791

300-900,792

50-558rs/qtl,793

divisionmaharashtra,794

state,795

marketing,796

"board,panchavati",797

"yard,",798

dindori,799

"naka,nashik-422003",800

ph,801

0253,802

2512176,803

935,804

average-935,805

"minimum-301,maximum-1000,average-935rupees/qtl",806

967,807

average-875,808

nandurbar,809

-5466,810

5511,811

-5350,812

nagpur,813

onion-600-900,814

500-967,815

-700,816

200-1100,817

01/01/2019mandi,818

800/quintal,819

300901,820

3300,821

lasalgaonlalquintal15000300901800,822

-unhal-min-300,823

max-1111,824

avg-700,825

300-799,826

lasalgao,827

",maximum",828

200-742rs/qtl,829

onion-710,830

-minimum,831

"/qtl,maximum",832

rate-703,833

"rs/qtl,average",834

550,835

tomato-minimum-,836

800maximum-1300,837

500900,838

710,839

-500-800,840

lasalgaon-300-898,841

02/01/2019,842

mandi,843

pomogranet-,844

250-5000,845

"301,",846

"-898,",847

-680rs,848

"700,800,750",849

02/01/2019mandi,850

675/quintal,851

rsqtl,852

"200,",853

"688,average",854

-550,855

3oo,856

725,857

200-746,858

650rs/qtl,859

-100-978,860

"-300,",861

"-1051,average",862

-650rs,863

-300-812,864

onion-680,865

10003600,866

onion-average-700,867

"-125,",868

"-625,average",869

-400,870

-251-630,871

-average,872

onionrate,873

unit,874

rsapmcvarietyunitquantitylratehratemodal22/01/2019kolhapur----quintal6268150800500aurangabad----quintal873150450300,875

-today,876

1200,877

onion-yeola,878

100-525,879

max-1000,880

jalna,881

5296-5350,882

5400,883

5700,884

onion-average-500,885

"-200,",886

"-700,",887

551,888

average-450,889

1000-30000,890

-35005500rs/qtl,891

-800900rs/qtl,892

onion-chandvad,893

"market-minimum-200,maximum-741,average-600",894

markerate,895

"300,600,450",896

onion-201-775rs/qtl,897

551/quintal,898

rate-8000,899

rs1600-1895,900

005234-60,901

0,902

sprayspray,903

mikrola,904

mili05234,905

gram/15,906

li,907

icar-national,908

grapespb,909

"3,",910

po,911

"farm,",912

roadpune,913

"412307,",914

indiaphone,915

91-20-26956000,916

(epabx)fax,917

91-20-26956099email,918

directornrcg@icargovin,919

-60,920

-40,921

liteer,922

maize-lasalgaon,923

1580-1700,924

kadaknath,925

no1,926

chicken,927

-contact,928

-088927,929

24446,930

1629-1736,931

qunital/,932

20%)devi,933

husbandry,934

0253-,935

2579606,936

you,937

can,938

"calcium,",939

"nitrate,boron",940

planofix,941

thinking,942

"weather,",943

"supply,",944

"infestation,",945

appropriate,946

mrug,947

mugh,948

has,949

stop,950

april-may,951

scarcity,952

was,953

convenient,954

garden,955

decomposant,956

deer,957

beaar,958

ready,959

"december-january,",960

good,961

keeping,962

"tide,",963

40-50,964

pollen,965

given,966

"trees,",967

stressed,968

tension,969

trees,970

ppm,971

naphthalene,972

ethylbreaking,973

"stress,",974

kavach,975

water(chlorothalonil,976

wp)-syngenta,977

inflorescence,978

protection,979

4gm/15,980

cucumber,981

ratoon,982

soyabeen,983

"200,601,",984

511,985

581,986

470,987

thiomithoxom,988

25%,989

isabion,990

07,991

part,992

heart,993

woodcultivationsoil,994

climateit,995

grows,996

sandy,997

loam,998

requires,999

humid,1000

hot,1001

climatenursery,1002

raising,1003

plantingtwo,1004

beds,1005

raise,1006

sandal,1007

seedlings,1008

sunken,1009

raised,1010

bedsboth,1011

them,1012

perform,1013

equally,1014

under,1015

different,1016

climatic,1017

"conditionsmanures,",1018

fertilisers,1019

pesticidesthe,1020

medicinal,1021

plants,1022

have,1023

grown,1024

without,1025

chemical,1026

fertilizers,1027

ofpesticides,1028

manures,1029

"like,",1030

yard,1031

manure,1032

"(fym),",1033

"vermi-compost,",1034

greenmanure,1035

may,1036

species,1037

prevent,1038

"diseases,bio-pesticides",1039

could,1040

prepared,1041

(either,1042

single,1043

mixture),1044

"(kernel,",1045

seeds&,1046

"leaves),",1047

"chitrakmool,",1048

"dhatura,",1049

cow's,1050

coriander,1051

191919-,1052

100gram,1053

60gm,1054

30ml,1055

30ml/15lit,1056

at,1057

stage,1058

herbicides,1059

"recommended,",1060

carry,1061

hand,1062

weeding,1063

increasing,1064

bulb,1065

size,1066

redomil,1067

fame,1068

water(flubendiamide,1069

480sc)bayer,1070

oberon,1071

(fipronil,1072

)20,1073

ml/1,1074

takumi,1075

(flubendamide,1076

20%wgd)-tata,1077

rallis,1078

(diafenthiuron50,1079

thrips,1080

polo,1081

"water,",1082

scratch,1083

gummosis,1084

potassium,1085

permanganate1%,1086

wash,1087

bordo,1088

mixture,1089

",nashik-",1090

mobile,1091

0253-2230698,1092

pomegranate-apply,1093

000050,1094

3kg/acre,1095

miner,1096

kharif,1097

"season,",1098

yield,1099

hectare,1100

enough,1101

pour,1102

3g,1103

thyme,1104

bavistin-,1105

2%,1106

dap,1107

bahaar,1108

6100,1109

spongegourd-spray,1110

19-60gm,1111

bottle,1112

yellowing,1113

jasmine,1114

soloman,1115

lancer,1116

518,1117

sp,1118

-(acephate,1119

imidacloprid,1120

sp),1121

lasalgaon-niphad-201-668,1122

ml(devicropscience)/15,1123

calscium,1124

potasium,1125

sorghum-spray,1126

fodder,1127

girdle,1128

beetle,1129

remove,1130

bark,1131

"garden,",1132

injection,1133

diclorovos,1134

pesticides,1135

hole,1136

(,1137

dichlorvos,1138

76%,1139

eating,1140

-3000,1141

3500,1142

if,1143

effect,1144

weedicide,1145

"seen,",1146

tonic,1147

flowering-spray,1148

20%),1149

kill,1150

phosphide,1151

80%,1152

34-,1153

"2,4",1154

amine,1155

salt,1156

58%,1157

sl,1158

water(dimethoate),1159

bensalf,1160

kg/,1161

flower(nitrobenzine,1162

pomogranate-pottasium,1163

5gram,1164

/1,1165

litr,1166

(in,1167

split,1168

days),1169

ssp-,1170

125,1171

-35,1172

natio,1173

06,1174

water(tebuconyazoltrifloxystrobin),1175

-bayer,1176

decis,1177

mlantracol,1178

water(deltamethrin)-bayer,1179

amister,1180

fungicide,1181

amistar,1182

water(azactrostrobin)-syngenta,1183

metsulfuron,1184

methyle,1185

gram/,1186

tomato-application,1187

f,1188

ertilizer,1189

gm/15lit,1190

field,1191

find,1192

live,1193

sulphide,1194

tablets,1195

fumigation,1196

seal,1197

emamectin,1198

shoot,1199

borer,1200

gmkarate,1201

mili,1202

sponge,1203

gourd-spray,1204

(dimethoate,1205

30%,1206

wilt,1207

pumpkin,1208

termites,1209

phorate,1210

10kg/acre,1211

pendimethylin,1212

1-15,1213

ai/ha,1214

800-1000,1215

variety,1216

golden,1217

"acre,",1218

",silection",1219

western,1220

-44,1221

phule-,1222

unnati,1223

jl-24,1224

bitter,1225

",hirkani,arka",1226

-manjari,1227

gota,1228

pragati,1229

aruna,1230

krushna,1231

arjun,1232

-agni,1233

-jwala,1234

modified,1235

casteskokan,1236

m-1,1237

dhanraj,1238

improved,1239

verieties,1240

drum,1241

stick,1242

varietiesarka,1243

",priya",1244

preethi,1245

"gold,hirakani",1246

"moringa,kokan",1247

"ruchira,odissi,dhanraj",1248

-53,1249

poona,1250

fursungi,1251

baswant-780,1252

no-2-4-1,1253

suvarna,1254

agrifound,1255

dark,1256

ginger,1257

mahim,1258

varada,1259

mahima,1260

suprabha,1261

suruchi,1262

surbhi,1263

rio,1264

-de,1265

-janario,1266

avishkar,1267

ananya,1268

capsicum,1269

-arka,1270

mohini,1271

california,1272

yellow,1273

indra,1274

bharat,1275

ankur-19,1276

okra,1277

-mdu,1278

"1,",1279

"anamika,",1280

"kranti,phule",1281

vimukta,1282

groundnutproduction,1283

(q,1284

ha)tag,1285

ojl,1286

10-12,1287

otk,1288

15-18,1289

oa,1290

159,1291

20-22,1292

14-20,1293

ofertilizerorganic,1294

filling,1295

done,1296

availability,1297

both,1298

bhui,1299

mung,1300

watercolumni,1301

vitric,1302

(eichomia,1303

crasspes),1304

best,1305

65,1306

5365,1307

"-1,",1308

-92,1309

-94,1310

214,1311

-moringa,1312

pkm-1,1313

pkm-2,1314

shevga,1315

ruchira,1316

bhendi,1317

-phule,1318

kranti,1319

anamika,1320

mahyco,1321

-64,1322

shan,1323

sahiba,1324

bean--phule,1325

"suyash,",1326

"anupama,",1327

"parvati,",1328

komal,1329

fenugreek,1330

rajsthan,1331

methi-,1332

no-47,1333

prabha,1334

early,1335

bunching,1336

kasuri,1337

-bhagya,1338

",pkm-1,",1339

"co-1,",1340

"co2,",1341

"shevga,",1342

moringa,1343

veriety,1344

"moringa,",1345

"pkm-1,",1346

coimbatore,1347

custard,1348

apple,1349

-balanagar,1350

sahan,1351

tp-7,1352

daulatabad,1353

dharur-6,1354

purandar,1355

punyashloka,1356

ahilyadevi,1357

mendhi,1358

va,1359

sheli,1360

vikas,1361

mahamandal,1362

ltd,1363

-0240-2370449,1364

ridge,1365

-jk,1366

malvika,1367

rama,1368

dhanush,1369

mayuri,1370

-sardar,1371

(lukhnow-49),1372

vnr,1373

bihi,1374

-1,1375

cool,1376

-min,1377

13°c,1378

32°c,1379

report,1380

-min7,1381

max23,1382

"cloudy,possiblity",1383

nandura,1384

"rainfall,",1385

temprature,1386

-min-09degree,1387

report-,1388

khamgaon,1389

-min-16°c,1390

°c,1391

weeks,1392

"nandgaon,",1393

-min-10,1394

nopossibility,1395

-min9,1396

-min-12,1397

chandvad,1398

block-,1399

"cloudy,no",1400

min16,1401

moderate,1402

"clear,no",1403

-min-9,1404

14,1405

clearno,1406

today's,1407

24/01/2019mandi,1408

beans(modal,1409

5300/quintal,1410

-min-7,1411

report-tahsil,1412

-min160,1413

290,1414

-min-17,1415

niphad-this,1416

